kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,সতৰ্কবাণী: এই বেচটো স্থগিত ৰখা হৈছে। অনুগ্ৰহ কৰি পৰ্যালোচনালৈ অপেক্ষা কৰক।,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,গুৰুতৰ সতৰ্কবাণী: সুৰক্ষাজনিত কাৰণত এই বেচটো প্ৰত্যাখ্যান কৰা হৈছে। ইয়াক ব্যৱহাৰ নকৰিব।,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,ৰিকল জাননী: এই বেচটো উভতাই অনা হৈছে। বাকী থকা মজুত এতিয়াই পৃথক কৰি ৰাখক।,,
ui,scanTitle,Scan medicine batch,ঔষধৰ বেচ স্কেন কৰক,,
ui,batchPlaceholder,Batch ID,বেচ আইডি,,
ui,verify,Check batch,বেচ পৰীক্ষা কৰক,,
ui,newScan,New scan,নতুন স্কেন,,
ui,checking,Checking…,পৰীক্ষা চলি আছে…,,
ui,resultTitle,Quality gate result,গুণগত মান পৰীক্ষাৰ ফলাফল,,
ui,ACCEPT,ACCEPT,গ্ৰহণ কৰা হৈছে,,
ui,HOLD,HOLD,স্থগিত,,
ui,REJECT,REJECT,প্ৰত্যাখ্যান,,
ui,askAgent,Ask the assistant,সহায়কক সুধিব,,
ui,askPlaceholder,Ask about this batch…,এই বেচৰ বিষয়ে সুধিব…,,
ui,language,Language,ভাষা,,
ui,medicine,Medicine,ঔষধ,,
ui,batchNo,Batch no.,বেচ নং,,
ui,expiry,Expiry,সমাপ্তিৰ তাৰিখ,,
ui,packRead,Details read from the pack,পেকেটৰ পৰা পঢ়া তথ্য,,
