batch_id,medicine_name,status,file
DEMO-ACCEPT,Paracetamol,PENDING,DEMO-ACCEPT.png
DEMO-HOLD,Amoxicillin,PENDING,DEMO-HOLD.png
DEMO-REJECT,Paracetamol,PENDING,DEMO-REJECT.png
MED-BOL-2001,Metformin 500mg,ACCEPTED,MED-BOL-2001.png
MED-BOL-2002,Cough Syrup (Dextromethorphan),ACCEPTED,MED-BOL-2002.png
MED-BOL-2011,Amlodipine 5mg,ACCEPTED,MED-BOL-2011.png
MED-BOL-2012,Ranitidine 150mg,ACCEPTED,MED-BOL-2012.png
MED-BOL-2018,ORS + Zinc Combo,REJECTED,MED-BOL-2018.png
MED-BOL-2023,Iron Folic Acid Tablets,ACCEPTED,MED-BOL-2023.png
MED-BOL-2025,Vitamin D3 60K,REJECTED,MED-BOL-2025.png
MED-BOL-2030,ORS + Zinc Combo,ACCEPTED,MED-BOL-2030.png
MED-BOL-2034,Azithromycin 250mg,HOLD,MED-BOL-2034.png
MED-BOL-2035,Iron Folic Acid Tablets,ACCEPTED,MED-BOL-2035.png
MED-BOL-2039,Pantoprazole 40mg,REJECTED,MED-BOL-2039.png
MED-BOL-2045,ORS Powder,HOLD,MED-BOL-2045.png
