kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,सूचना: अयं समूहः स्थगितः अस्ति। कृपया समीक्षां प्रतीक्षन्ताम्।,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,गम्भीरसूचना: सुरक्षाकारणात् अयं समूहः निराकृतः। एतं मा उपयुञ्जन्तु।,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,प्रत्याह्वानसूचना: अयं समूहः प्रत्याहूयते। अवशिष्टं भण्डारं तत्क्षणं पृथक् स्थापयन्तु।,,
ui,scanTitle,Scan medicine batch,औषधसमूहस्य परीक्षणम्,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",औषधवेष्टनस्य चित्रं गृह्णन्तु अथवा समूहसङ्केतं लिखन्तु।,,
ui,batchPlaceholder,Batch ID,समूहसङ्केतः,,
ui,verify,Check batch,समूहं परीक्षन्तु,,
ui,packPhoto,Photo of pack,वेष्टनचित्रम्,,
ui,newScan,New scan,नूतनं परीक्षणम्,,
ui,checking,Checking…,परीक्षणं प्रचलति…,,
ui,notFound,Batch not found. Try a photo of the pack.,समूहः न प्राप्तः। वेष्टनचित्रं प्रयतन्ताम्।,,
ui,resultTitle,Quality gate result,गुणवत्ताप्रमाणफलम्,,
ui,ACCEPT,ACCEPT,स्वीकृतम्,,
ui,HOLD,HOLD,स्थगितम्,,
ui,REJECT,REJECT,निराकृतम्,,
ui,alertSentTo,Alert sent to,सूचना प्रेषिता —,,
ui,recallStarted,Recall started,प्रत्याह्वानम् आरब्धम्,,
ui,askAgent,Ask the assistant,सहायकं पृच्छन्तु,,
ui,askPlaceholder,Ask about this batch…,अस्य समूहस्य विषये पृच्छन्तु…,,
ui,language,Language,भाषा,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,भवान् अजालस्थितः अस्ति। परीक्षणं रक्षितम्; जालसम्पर्के प्रेषयिष्यते।,,
ui,medicine,Medicine,औषधम्,,
ui,batchNo,Batch no.,समूहसङ्ख्या,,
ui,expiry,Expiry,समाप्तिदिनाङ्कः,,
ui,packRead,Details read from the pack,वेष्टनात् पठितं विवरणम्,,
