kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,चेतावनी: एह् बैच रोकेआ गेदा ऐ। कृपा करियै समीक्षा दा इंतजार करो।,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,गंभीर सूचना: सुरक्षा दे कारणें एह् बैच रद्द कीता गेदा ऐ। इसदा इस्तेमाल नेईं करो।,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,रिकॉल सूचना: एह् बैच वापस मंगोआया जा करदा ऐ। बचेदा स्टॉक फौरन अलग रक्खो।,,
ui,scanTitle,Scan medicine batch,दवाई दा बैच स्कैन करो,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",दवाई दे पैक दी फोटो खिच्चो जां बैच आईडी लिखो।,,
ui,batchPlaceholder,Batch ID,बैच आईडी,,
ui,verify,Check batch,बैच जाँचो,,
ui,packPhoto,Photo of pack,पैक दी फोटो,,
ui,newScan,New scan,नमां स्कैन,,
ui,checking,Checking…,जाँच होआ करदी ऐ…,,
ui,notFound,Batch not found. Try a photo of the pack.,बैच नेईं थ्होया। पैक दी फोटो कन्नै कोशश करो।,,
ui,resultTitle,Quality gate result,गुणवत्ता जाँच दा नतीजा,,
ui,ACCEPT,ACCEPT,मंजूर,,
ui,HOLD,HOLD,रोकेया,,
ui,REJECT,REJECT,रद्द,,
ui,alertSentTo,Alert sent to,चेतावनी भेजी गेई:,,
ui,recallStarted,Recall started,रिकॉल शुरू होआ,,
ui,askAgent,Ask the assistant,सहायक कोला पुच्छो,,
ui,askPlaceholder,Ask about this batch…,इस बैच बारै पुच्छो…,,
ui,language,Language,भाशा,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,तुस ऑफलाइन ओ। स्कैन सेव होई गेआ ऐ; नेटवर्क औने पर भेजेआ जाग।,,
ui,medicine,Medicine,दवाई,,
ui,batchNo,Batch no.,बैच नं.,,
ui,expiry,Expiry,म्याद खत्म होने दी तरीक,,
ui,packRead,Details read from the pack,पैक थमां पढ़ी गेदी जानकारी,,
