kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,ਚੇਤਾਵਨੀ: ਇਹ ਬੈਚ ਰੋਕ ਦਿੱਤਾ ਗਿਆ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਸਮੀਖਿਆ ਦੀ ਉਡੀਕ ਕਰੋ।,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,ਗੰਭੀਰ ਚੇਤਾਵਨੀ: ਸੁਰੱਖਿਆ ਕਾਰਨਾਂ ਕਰਕੇ ਇਹ ਬੈਚ ਰੱਦ ਕੀਤਾ ਗਿਆ ਹੈ। ਇਸਨੂੰ ਨਾ ਵਰਤੋ।,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,ਰੀਕਾਲ ਸੂਚਨਾ: ਇਹ ਬੈਚ ਵਾਪਸ ਮੰਗਵਾਇਆ ਜਾ ਰਿਹਾ ਹੈ। ਬਾਕੀ ਸਟਾਕ ਤੁਰੰਤ ਅਲੱਗ ਰੱਖੋ।,,
ui,scanTitle,Scan medicine batch,ਦਵਾਈ ਦਾ ਬੈਚ ਸਕੈਨ ਕਰੋ,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",ਦਵਾਈ ਦੇ ਪੈਕ ਦੀ ਫ਼ੋਟੋ ਲਓ ਜਾਂ ਬੈਚ ਆਈਡੀ ਲਿਖੋ।,,
ui,batchPlaceholder,Batch ID,ਬੈਚ ਆਈਡੀ,,
ui,verify,Check batch,ਬੈਚ ਜਾਂਚੋ,,
ui,packPhoto,Photo of pack,ਪੈਕ ਦੀ ਫ਼ੋਟੋ,,
ui,newScan,New scan,ਨਵਾਂ ਸਕੈਨ,,
ui,checking,Checking…,ਜਾਂਚ ਹੋ ਰਹੀ ਹੈ…,,
ui,notFound,Batch not found. Try a photo of the pack.,ਬੈਚ ਨਹੀਂ ਮਿਲਿਆ। ਪੈਕ ਦੀ ਫ਼ੋਟੋ ਵਰਤ ਕੇ ਵੇਖੋ।,,
ui,resultTitle,Quality gate result,ਗੁਣਵੱਤਾ ਜਾਂਚ ਦਾ ਨਤੀਜਾ,,
ui,ACCEPT,ACCEPT,ਮਨਜ਼ੂਰ,,
ui,HOLD,HOLD,ਰੋਕਿਆ ਗਿਆ,,
ui,REJECT,REJECT,ਰੱਦ,,
ui,alertSentTo,Alert sent to,ਚੇਤਾਵਨੀ ਭੇਜੀ ਗਈ:,,
ui,recallStarted,Recall started,ਰੀਕਾਲ ਸ਼ੁਰੂ ਹੋਇਆ,,
ui,askAgent,Ask the assistant,ਸਹਾਇਕ ਤੋਂ ਪੁੱਛੋ,,
ui,askPlaceholder,Ask about this batch…,ਇਸ ਬੈਚ ਬਾਰੇ ਪੁੱਛੋ…,,
ui,language,Language,ਭਾਸ਼ਾ,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,ਤੁਸੀਂ ਔਫ਼ਲਾਈਨ ਹੋ। ਸਕੈਨ ਸੰਭਾਲ ਲਿਆ ਗਿਆ ਹੈ ਅਤੇ ਨੈੱਟਵਰਕ ਆਉਣ ’ਤੇ ਭੇਜਿਆ ਜਾਵੇਗਾ।,,
ui,medicine,Medicine,ਦਵਾਈ,,
ui,batchNo,Batch no.,ਬੈਚ ਨੰ.,,
ui,expiry,Expiry,ਮਿਆਦ ਪੁੱਗਣ ਦੀ ਤਾਰੀਖ਼,,
ui,packRead,Details read from the pack,ਪੈਕ ਤੋਂ ਪੜ੍ਹੀ ਜਾਣਕਾਰੀ,,
