kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,മുന്നറിയിപ്പ്: ഈ ബാച്ച് തടഞ്ഞുവച്ചിരിക്കുന്നു. പരിശോധനയ്ക്കായി കാത്തിരിക്കുക.,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,ഗുരുതര മുന്നറിയിപ്പ്: സുരക്ഷാ കാരണങ്ങളാൽ ഈ ബാച്ച് നിരസിച്ചു. ഇത് ഉപയോഗിക്കരുത്.,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,തിരിച്ചുവിളി അറിയിപ്പ്: ഈ ബാച്ച് തിരിച്ചുവിളിക്കുന്നു. ശേഷിക്കുന്ന സ്റ്റോക്ക് ഉടൻ മാറ്റിവയ്ക്കുക.,,
ui,scanTitle,Scan medicine batch,മരുന്ന് ബാച്ച് സ്കാൻ ചെയ്യുക,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",മരുന്ന് പാക്കിന്റെ ഫോട്ടോ എടുക്കുക അല്ലെങ്കിൽ ബാച്ച് ഐഡി ടൈപ്പ് ചെയ്യുക.,,
ui,batchPlaceholder,Batch ID,ബാച്ച് ഐഡി,,
ui,verify,Check batch,ബാച്ച് പരിശോധിക്കുക,,
ui,packPhoto,Photo of pack,പാക്കിന്റെ ഫോട്ടോ,,
ui,newScan,New scan,പുതിയ സ്കാൻ,,
ui,checking,Checking…,പരിശോധിക്കുന്നു…,,
ui,notFound,Batch not found. Try a photo of the pack.,ബാച്ച് കണ്ടെത്തിയില്ല. പാക്കിന്റെ ഫോട്ടോ ഉപയോഗിച്ച് നോക്കുക.,,
ui,resultTitle,Quality gate result,ഗുണനിലവാര പരിശോധനാ ഫലം,,
ui,ACCEPT,ACCEPT,അംഗീകരിച്ചു,,
ui,HOLD,HOLD,തടഞ്ഞുവച്ചു,,
ui,REJECT,REJECT,നിരസിച്ചു,,
ui,alertSentTo,Alert sent to,മുന്നറിയിപ്പ് അയച്ചു:,,
ui,recallStarted,Recall started,തിരിച്ചുവിളി ആരംഭിച്ചു,,
ui,askAgent,Ask the assistant,സഹായിയോട് ചോദിക്കുക,,
ui,askPlaceholder,Ask about this batch…,ഈ ബാച്ചിനെക്കുറിച്ച് ചോദിക്കുക…,,
ui,language,Language,ഭാഷ,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,നിങ്ങൾ ഓഫ്‌ലൈനാണ്. സ്കാൻ സേവ് ചെയ്തു; നെറ്റ്‌വർക്ക് വന്നാൽ അയയ്ക്കും.,,
ui,medicine,Medicine,മരുന്ന്,,
ui,batchNo,Batch no.,ബാച്ച് നം.,,
ui,expiry,Expiry,കാലാവധി തീയതി,,
ui,packRead,Details read from the pack,പാക്കിൽ നിന്ന് വായിച്ച വിവരങ്ങൾ,,
