kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,সতর্কতা: এই ব্যাচটি স্থগিত রাখা হয়েছে। অনুগ্রহ করে পর্যালোচনার জন্য অপেক্ষা করুন।,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,গুরুতর সতর্কতা: নিরাপত্তার কারণে এই ব্যাচটি বাতিল করা হয়েছে। এটি ব্যবহার করবেন না।,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,রিকল বিজ্ঞপ্তি: এই ব্যাচটি ফেরত নেওয়া হচ্ছে। অবশিষ্ট মজুত এখনই আলাদা করে রাখুন।,,
ui,scanTitle,Scan medicine batch,ওষুধের ব্যাচ স্ক্যান করুন,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",ওষুধের প্যাকেটের ছবি তুলুন বা ব্যাচ আইডি লিখুন।,,
ui,batchPlaceholder,Batch ID,ব্যাচ আইডি,,
ui,verify,Check batch,ব্যাচ যাচাই করুন,,
ui,packPhoto,Photo of pack,প্যাকেটের ছবি,,
ui,newScan,New scan,নতুন স্ক্যান,,
ui,checking,Checking…,যাচাই চলছে…,,
ui,notFound,Batch not found. Try a photo of the pack.,ব্যাচ পাওয়া যায়নি। প্যাকেটের ছবি দিয়ে চেষ্টা করুন।,,
ui,resultTitle,Quality gate result,গুণমান যাচাইয়ের ফলাফল,,
ui,ACCEPT,ACCEPT,গৃহীত,,
ui,HOLD,HOLD,স্থগিত,,
ui,REJECT,REJECT,প্রত্যাখ্যাত,,
ui,alertSentTo,Alert sent to,সতর্কবার্তা পাঠানো হয়েছে:,,
ui,recallStarted,Recall started,রিকল শুরু হয়েছে,,
ui,askAgent,Ask the assistant,সহায়ককে জিজ্ঞাসা করুন,,
ui,askPlaceholder,Ask about this batch…,এই ব্যাচ সম্পর্কে জিজ্ঞাসা করুন…,,
ui,language,Language,ভাষা,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,"আপনি অফলাইনে আছেন। স্ক্যান সংরক্ষিত হয়েছে, নেটওয়ার্ক এলে পাঠানো হবে।",,
ui,medicine,Medicine,ওষুধ,,
ui,batchNo,Batch no.,ব্যাচ নং,,
ui,expiry,Expiry,মেয়াদ শেষের তারিখ,,
ui,packRead,Details read from the pack,প্যাকেট থেকে পড়া তথ্য,,
