kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,ଚେତାବନୀ: ଏହି ବ୍ୟାଚ୍‌କୁ ହୋଲ୍ଡ୍ କରାଯାଇଛି। ଦୟାକରି ସମୀକ୍ଷା ପାଇଁ ପ୍ରତୀକ୍ଷା କରନ୍ତୁ।,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,ଗୁରୁତର ସୂଚନା: ସୁରକ୍ଷା କାରଣରୁ ଏହି ବ୍ୟାଚ୍ ପ୍ରତ୍ୟାଖ୍ୟାନ କରାଯାଇଛି। ଏହାକୁ ବ୍ୟବହାର କରନ୍ତୁ ନାହିଁ।,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,ରିକଲ୍ ସୂଚନା: ଏହି ବ୍ୟାଚ୍‌କୁ ଫେରାଇ ନିଆଯାଉଛି। ବାକି ଷ୍ଟକ୍ ତୁରନ୍ତ ଅଲଗା ରଖନ୍ତୁ।,,
ui,scanTitle,Scan medicine batch,ଔଷଧ ବ୍ୟାଚ୍ ସ୍କାନ୍ କରନ୍ତୁ,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",ଔଷଧ ପ୍ୟାକ୍‌ର ଫଟୋ ନିଅନ୍ତୁ କିମ୍ବା ବ୍ୟାଚ୍ ଆଇଡି ଲେଖନ୍ତୁ।,,
ui,batchPlaceholder,Batch ID,ବ୍ୟାଚ୍ ଆଇଡି,,
ui,verify,Check batch,ବ୍ୟାଚ୍ ଯାଞ୍ଚ କରନ୍ତୁ,,
ui,packPhoto,Photo of pack,ପ୍ୟାକ୍‌ର ଫଟୋ,,
ui,newScan,New scan,ନୂଆ ସ୍କାନ୍,,
ui,checking,Checking…,ଯାଞ୍ଚ ହେଉଛି…,,
ui,notFound,Batch not found. Try a photo of the pack.,ବ୍ୟାଚ୍ ମିଳିଲା ନାହିଁ। ପ୍ୟାକ୍‌ର ଫଟୋ ଚେଷ୍ଟା କରନ୍ତୁ।,,
ui,resultTitle,Quality gate result,ଗୁଣବତ୍ତା ଯାଞ୍ଚ ଫଳାଫଳ,,
ui,ACCEPT,ACCEPT,ଗ୍ରହଣ,,
ui,HOLD,HOLD,ରୋକାଯାଇଛି,,
ui,REJECT,REJECT,ପ୍ରତ୍ୟାଖ୍ୟାତ,,
ui,alertSentTo,Alert sent to,ସତର୍କ ବାର୍ତ୍ତା ପଠାଯାଇଛି:,,
ui,recallStarted,Recall started,ରିକଲ୍ ଆରମ୍ଭ ହୋଇଛି,,
ui,askAgent,Ask the assistant,ସହାୟକଙ୍କୁ ପଚାରନ୍ତୁ,,
ui,askPlaceholder,Ask about this batch…,ଏହି ବ୍ୟାଚ୍ ବିଷୟରେ ପଚାରନ୍ତୁ…,,
ui,language,Language,ଭାଷା,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,"ଆପଣ ଅଫଲାଇନ୍ ଅଛନ୍ତି। ସ୍କାନ୍ ସେଭ୍ ହୋଇଛି, ନେଟୱାର୍କ ଆସିଲେ ପଠାଯିବ।",,
ui,medicine,Medicine,ଔଷଧ,,
ui,batchNo,Batch no.,ବ୍ୟାଚ୍ ନଂ,,
ui,expiry,Expiry,ମିଆଦ ଶେଷ ତାରିଖ,,
ui,packRead,Details read from the pack,ପ୍ୟାକ୍‌ରୁ ପଢ଼ାଯାଇଥିବା ତଥ୍ୟ,,
