kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,सुचोवणी: हो बॅच थांबयला. पुनरावलोकनाची वाट पळयात.,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,गंभीर सुचोवणी: सुरक्षिततेच्या कारणांखातीर हो बॅच नाकारला. तो वापरूं नाकात.,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,रिकॉल सुचोवणी: हो बॅच परत मागयला. उरिल्लो साठो लगेच वेगळो दवरात.,,
ui,scanTitle,Scan medicine batch,औषधाचो बॅच स्कॅन करात,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",औषधाच्या पॅकाचो फोटो काडात वा बॅच आयडी बरयात.,,
ui,batchPlaceholder,Batch ID,बॅच आयडी,,
ui,verify,Check batch,बॅच तपासात,,
ui,packPhoto,Photo of pack,पॅकाचो फोटो,,
ui,newScan,New scan,नवो स्कॅन,,
ui,checking,Checking…,तपासणी चालू आसा…,,
ui,notFound,Batch not found. Try a photo of the pack.,बॅच मेळ्ळो ना. पॅकाचो फोटो वापरून पळयात.,,
ui,resultTitle,Quality gate result,गुणवत्ता तपासणेचो निकाल,,
ui,ACCEPT,ACCEPT,मान्य,,
ui,HOLD,HOLD,थांबयलो,,
ui,REJECT,REJECT,नाकारलो,,
ui,alertSentTo,Alert sent to,सूचना धाडली:,,
ui,recallStarted,Recall started,रिकॉल सुरू जालो,,
ui,askAgent,Ask the assistant,सहाय्यकाक विचारात,,
ui,askPlaceholder,Ask about this batch…,ह्या बॅचाविशीं विचारात…,,
ui,language,Language,भास,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,तुमी ऑफलायन आसात. स्कॅन सांबाळ्ळो; नेटवर्क आयल्यार धाडतलो.,,
ui,medicine,Medicine,औषध,,
ui,batchNo,Batch no.,बॅच क्र.,,
ui,expiry,Expiry,मुदत सोंपपाची तारीख,,
ui,packRead,Details read from the pack,पॅकांतल्यान वाचिल्ली म्हायती,,
