kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,ಎಚ್ಚರಿಕೆ: ಈ ಬ್ಯಾಚ್ ಅನ್ನು ತಡೆಹಿಡಿಯಲಾಗಿದೆ. ಪರಿಶೀಲನೆಗಾಗಿ ಕಾಯಿರಿ.,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,ಗಂಭೀರ ಎಚ್ಚರಿಕೆ: ಸುರಕ್ಷತಾ ಕಾರಣಗಳಿಂದ ಈ ಬ್ಯಾಚ್ ತಿರಸ್ಕರಿಸಲಾಗಿದೆ. ಇದನ್ನು ಬಳಸಬೇಡಿ.,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,ಮರುಸ್ವಾಧೀನ ಸೂಚನೆ: ಈ ಬ್ಯಾಚ್ ಅನ್ನು ಹಿಂಪಡೆಯಲಾಗುತ್ತಿದೆ. ಉಳಿದ ದಾಸ್ತಾನನ್ನು ತಕ್ಷಣ ಪ್ರತ್ಯೇಕಿಸಿ.,,
ui,scanTitle,Scan medicine batch,ಔಷಧ ಬ್ಯಾಚ್ ಸ್ಕ್ಯಾನ್ ಮಾಡಿ,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",ಔಷಧ ಪ್ಯಾಕ್‌ನ ಫೋಟೋ ತೆಗೆಯಿರಿ ಅಥವಾ ಬ್ಯಾಚ್ ಐಡಿ ಟೈಪ್ ಮಾಡಿ.,,
ui,batchPlaceholder,Batch ID,ಬ್ಯಾಚ್ ಐಡಿ,,
ui,verify,Check batch,ಬ್ಯಾಚ್ ಪರಿಶೀಲಿಸಿ,,
ui,packPhoto,Photo of pack,ಪ್ಯಾಕ್‌ನ ಫೋಟೋ,,
ui,newScan,New scan,ಹೊಸ ಸ್ಕ್ಯಾನ್,,
ui,checking,Checking…,ಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ…,,
ui,notFound,Batch not found. Try a photo of the pack.,ಬ್ಯಾಚ್ ಸಿಗಲಿಲ್ಲ. ಪ್ಯಾಕ್‌ನ ಫೋಟೋ ಬಳಸಿ ನೋಡಿ.,,
ui,resultTitle,Quality gate result,ಗುಣಮಟ್ಟ ಪರಿಶೀಲನೆಯ ಫಲಿತಾಂಶ,,
ui,ACCEPT,ACCEPT,ಸ್ವೀಕೃತ,,
ui,HOLD,HOLD,ತಡೆಹಿಡಿಯಲಾಗಿದೆ,,
ui,REJECT,REJECT,ತಿರಸ್ಕೃತ,,
ui,alertSentTo,Alert sent to,ಎಚ್ಚರಿಕೆ ಕಳುಹಿಸಲಾಗಿದೆ:,,
ui,recallStarted,Recall started,ಮರುಸ್ವಾಧೀನ ಆರಂಭವಾಗಿದೆ,,
ui,askAgent,Ask the assistant,ಸಹಾಯಕರನ್ನು ಕೇಳಿ,,
ui,askPlaceholder,Ask about this batch…,ಈ ಬ್ಯಾಚ್ ಬಗ್ಗೆ ಕೇಳಿ…,,
ui,language,Language,ಭಾಷೆ,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,ನೀವು ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿದ್ದೀರಿ. ಸ್ಕ್ಯಾನ್ ಉಳಿಸಲಾಗಿದೆ; ನೆಟ್‌ವರ್ಕ್ ಬಂದಾಗ ಕಳುಹಿಸಲಾಗುತ್ತದೆ.,,
ui,medicine,Medicine,ಔಷಧ,,
ui,batchNo,Batch no.,ಬ್ಯಾಚ್ ಸಂ.,,
ui,expiry,Expiry,ಮುಕ್ತಾಯ ದಿನಾಂಕ,,
ui,packRead,Details read from the pack,ಪ್ಯಾಕ್‌ನಿಂದ ಓದಿದ ವಿವರಗಳು,,
