kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,எச்சரிக்கை: இந்த பேட்ச் நிறுத்தி வைக்கப்பட்டுள்ளது. மறுஆய்வுக்காகக் காத்திருக்கவும்.,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,தீவிர எச்சரிக்கை: பாதுகாப்பு காரணங்களால் இந்த பேட்ச் நிராகரிக்கப்பட்டது. இதைப் பயன்படுத்த வேண்டாம்.,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,திரும்பப் பெறும் அறிவிப்பு: இந்த பேட்ச் திரும்பப் பெறப்படுகிறது. மீதமுள்ள இருப்பை உடனே தனியாக வையுங்கள்.,,
ui,scanTitle,Scan medicine batch,மருந்து பேட்ச்சை ஸ்கேன் செய்யுங்கள்,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",மருந்து பொதியின் புகைப்படம் எடுக்கவும் அல்லது பேட்ச் ஐடியை உள்ளிடவும்.,,
ui,batchPlaceholder,Batch ID,பேட்ச் ஐடி,,
ui,verify,Check batch,பேட்ச்சைச் சரிபார்,,
ui,packPhoto,Photo of pack,பொதியின் புகைப்படம்,,
ui,newScan,New scan,புதிய ஸ்கேன்,,
ui,checking,Checking…,சரிபார்க்கிறது…,,
ui,notFound,Batch not found. Try a photo of the pack.,பேட்ச் கிடைக்கவில்லை. பொதியின் புகைப்படத்தை முயற்சிக்கவும்.,,
ui,resultTitle,Quality gate result,தரச் சோதனை முடிவு,,
ui,ACCEPT,ACCEPT,ஏற்கப்பட்டது,,
ui,HOLD,HOLD,நிறுத்தி வைப்பு,,
ui,REJECT,REJECT,நிராகரிப்பு,,
ui,alertSentTo,Alert sent to,எச்சரிக்கை அனுப்பப்பட்டது:,,
ui,recallStarted,Recall started,திரும்பப் பெறுதல் தொடங்கியது,,
ui,askAgent,Ask the assistant,உதவியாளரிடம் கேளுங்கள்,,
ui,askPlaceholder,Ask about this batch…,இந்த பேட்ச் பற்றி கேளுங்கள்…,,
ui,language,Language,மொழி,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,நீங்கள் ஆஃப்லைனில் உள்ளீர்கள். ஸ்கேன் சேமிக்கப்பட்டது; இணைப்பு வந்ததும் அனுப்பப்படும்.,,
ui,medicine,Medicine,மருந்து,,
ui,batchNo,Batch no.,பேட்ச் எண்,,
ui,expiry,Expiry,காலாவதி தேதி,,
ui,packRead,Details read from the pack,பொதியிலிருந்து படித்த விவரங்கள்,,
