kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,चेतावनी: ई बैच रोकल गेल अछि। कृपया समीक्षाक प्रतीक्षा करू।,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,गंभीर सूचना: सुरक्षाक कारणेँ ई बैच अस्वीकार कएल गेल अछि। एकर उपयोग नहि करू।,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,रिकॉल सूचना: ई बैच घुरा लेल जा रहल अछि। बाँचल स्टॉक तुरंत अलग राखू।,,
ui,scanTitle,Scan medicine batch,दवाइक बैच स्कैन करू,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",दवाइक पैकक फोटो लिअ वा बैच आइडी लिखू।,,
ui,batchPlaceholder,Batch ID,बैच आइडी,,
ui,verify,Check batch,बैच जाँचू,,
ui,packPhoto,Photo of pack,पैकक फोटो,,
ui,newScan,New scan,नव स्कैन,,
ui,checking,Checking…,जाँच भऽ रहल अछि…,,
ui,notFound,Batch not found. Try a photo of the pack.,बैच नहि भेटल। पैकक फोटो सँ प्रयास करू।,,
ui,resultTitle,Quality gate result,गुणवत्ता जाँचक परिणाम,,
ui,ACCEPT,ACCEPT,स्वीकार,,
ui,HOLD,HOLD,रोकल गेल,,
ui,REJECT,REJECT,अस्वीकार,,
ui,alertSentTo,Alert sent to,अलर्ट पठाओल गेल:,,
ui,recallStarted,Recall started,रिकॉल शुरू भेल,,
ui,askAgent,Ask the assistant,सहायककेँ पूछू,,
ui,askPlaceholder,Ask about this batch…,एहि बैचक बारेमे पूछू…,,
ui,language,Language,भाषा,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,अहाँ ऑफलाइन छी। स्कैन सहेजल गेल अछि; नेटवर्क अएला पर पठाओल जाएत।,,
ui,medicine,Medicine,दवाइ,,
ui,batchNo,Batch no.,बैच नं.,,
ui,expiry,Expiry,समाप्ति तिथि,,
ui,packRead,Details read from the pack,पैकसँ पढ़ल गेल जानकारी,,
