kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,चेतावनी: यह बैच रोक दिया गया है। कृपया समीक्षा की प्रतीक्षा करें।,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,गंभीर सूचना: सुरक्षा कारणों से यह बैच अस्वीकार कर दिया गया है। इसका उपयोग न करें।,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,रिकॉल सूचना: इस बैच को वापस मंगाया जा रहा है। कृपया शेष स्टॉक तुरंत अलग करें।,,
ui,scanTitle,Scan medicine batch,दवा का बैच स्कैन करें,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",दवा के पैक की फ़ोटो लें या बैच आईडी लिखें।,,
ui,batchPlaceholder,Batch ID,बैच आईडी,,
ui,verify,Check batch,बैच जाँचें,,
ui,packPhoto,Photo of pack,पैक की फ़ोटो,,
ui,newScan,New scan,नया स्कैन,,
ui,checking,Checking…,जाँच हो रही है…,,
ui,notFound,Batch not found. Try a photo of the pack.,बैच नहीं मिला। पैक की फ़ोटो लेकर देखें।,,
ui,resultTitle,Quality gate result,गुणवत्ता जाँच का परिणाम,,
ui,ACCEPT,ACCEPT,स्वीकार,,
ui,HOLD,HOLD,रोका गया,,
ui,REJECT,REJECT,अस्वीकार,,
ui,alertSentTo,Alert sent to,अलर्ट भेजा गया:,,
ui,recallStarted,Recall started,रिकॉल शुरू हुआ,,
ui,askAgent,Ask the assistant,सहायक से पूछें,,
ui,askPlaceholder,Ask about this batch…,इस बैच के बारे में पूछें…,,
ui,language,Language,भाषा,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,आप ऑफ़लाइन हैं। स्कैन सहेज लिया गया है और नेटवर्क आने पर भेजा जाएगा।,,
ui,medicine,Medicine,दवा,,
ui,batchNo,Batch no.,बैच नं.,,
ui,expiry,Expiry,समाप्ति तिथि,,
ui,packRead,Details read from the pack,पैक से पढ़ी गई जानकारी,,
ui,caModeToggle,Care Access,देखभाल पहुँच,,
ui,caModeBatch,Medicine Batches,दवा बैच,,
ui,caRegisterTitle,Register Patient,मरीज़ पंजीकरण,,
ui,caRegisterSubtitle,ASHA worker patient intake,आशा कार्यकर्ता द्वारा मरीज़ भर्ती,,
ui,caName,Name,नाम,,
ui,caAge,Age,उम्र,,
ui,caGender,Gender,लिंग,,
ui,caVillage,Village,गाँव,,
ui,caFacility,Home facility,गृह केंद्र,,
ui,caRegisteredBy,Registered by (your name/ID),पंजीकरणकर्ता (आपका नाम/आईडी),,
ui,caPhone,Phone (optional),फ़ोन (वैकल्पिक),,
ui,caSubmit,Register & continue,पंजीकृत करें और आगे बढ़ें,,
ui,caRegistering,Registering…,पंजीकरण हो रहा है…,,
ui,caTriageTitle,Digital Triage,डिजिटल ट्रायाज,,
ui,caTriageSubtitle,AI-assisted symptom triage,AI-सहायित लक्षण जाँच,,
ui,caSymptoms,Symptoms,लक्षण,,
ui,caSymptomsPlaceholder,Describe the symptoms…,लक्षणों का वर्णन करें…,,
ui,caActor,Assessed by,जाँचकर्ता,,
ui,caRunTriage,Run triage,ट्रायाज चलाएँ,,
ui,caTriageThinking,AI agent is reasoning over the patient record…,AI एजेंट मरीज़ के रिकॉर्ड पर विश्लेषण कर रहा है…,,
ui,caUrgency,Urgency,तात्कालिकता,,
ui,caSuggestedFacility,Suggested facility level,सुझाया गया केंद्र स्तर,,
ui,caReasoning,Reasoning,कारण,,
ui,caEvidence,Evidence used,उपयोग किया गया प्रमाण,,
ui,caConfidence,Confidence,विश्वास स्तर,,
ui,caEmergencyBanner,EMERGENCY — refer immediately,आपातकाल — तुरंत रेफर करें,,
ui,caCreateReferral,Create referral,रेफरल बनाएँ,,
ui,caReferralTitle,Referral Tracker,रेफरल ट्रैकर,,
ui,caFrom,From facility,से केंद्र,,
ui,caTo,To facility,तक केंद्र,,
ui,caReason,Reason,कारण,,
ui,caCreatedBy,Created by,बनाया गया,,
ui,caAccept,Accept,स्वीकार करें,,
ui,caMarkInTransit,Mark in transit,परिवहन में अंकित करें,,
ui,caCompleteAction,Complete,पूर्ण करें,,
ui,caCancel,Cancel,रद्द करें,,
ui,caIncomingReferrals,Incoming referrals,आने वाले रेफरल,,
ui,caQueueTitle,Queue / Token Booking,कतार / टोकन बुकिंग,,
ui,caJoinQueue,Join queue,कतार में शामिल हों,,
ui,caTokenNumber,Token,टोकन,,
ui,caWaitEstimate,Estimated wait,अनुमानित प्रतीक्षा,,
ui,caFrontDesk,Front desk — live queue,फ्रंट डेस्क — लाइव कतार,,
ui,caCall,Call,बुलाएँ,,
ui,caStartConsult,Start consult,परामर्श शुरू करें,,
ui,caMarkDone,Mark done,पूर्ण अंकित करें,,
ui,caNoShow,No show,अनुपस्थित,,
ui,caTeleconsultTitle,Teleconsult,टेलीपरामर्श,,
ui,caDoctorName,Doctor name,डॉक्टर का नाम,,
ui,caSchedule,Schedule session,सत्र निर्धारित करें,,
ui,caStartCall,Start call,कॉल शुरू करें,,
ui,caEndCall,End call,कॉल समाप्त करें,,
ui,caNotes,Consult notes,परामर्श टिप्पणी,,
ui,caCompleteSession,Complete session,सत्र पूर्ण करें,,
ui,caPatientRecord,Patient record,मरीज़ रिकॉर्ड,,
ui,caFollowUpTitle,Follow-Up Tracking,फॉलो-अप ट्रैकिंग,,
ui,caDueDate,Due date,नियत तिथि,,
ui,caOverdue,Overdue,विलंबित,,
ui,caMarkComplete,Mark complete,पूर्ण अंकित करें,,
ui,caScheduleFollowUp,Schedule follow-up,फॉलो-अप निर्धारित करें,,
ui,caRiskCategory,Risk category,जोखिम श्रेणी,,
ui,caDashboardTitle,Facility Dashboard,केंद्र डैशबोर्ड,,
ui,caSelectFacility,Select facility,केंद्र चुनें,,
ui,caPatientsToday,Patients registered today,आज पंजीकृत मरीज़,,
ui,caTriagedToday,Triaged today,आज ट्रायाज किए गए,,
ui,caEmergenciesToday,Emergency flags today,आज आपातकालीन मामले,,
ui,caReferralsCompleted,Referrals completed,पूर्ण रेफरल,,
ui,caReferralsPending,Pending incoming referrals,लंबित आने वाले रेफरल,,
ui,caQueueDepth,Current queue depth,वर्तमान कतार लंबाई,,
