kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,హెచ్చరిక: ఈ బ్యాచ్‌ను నిలిపివేశారు. సమీక్ష కోసం వేచి ఉండండి.,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,తీవ్ర హెచ్చరిక: భద్రతా కారణాల వల్ల ఈ బ్యాచ్ తిరస్కరించబడింది. దీన్ని వాడకండి.,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,రీకాల్ నోటీసు: ఈ బ్యాచ్‌ను వెనక్కి తీసుకుంటున్నారు. మిగిలిన స్టాక్‌ను వెంటనే వేరు చేయండి.,,
ui,scanTitle,Scan medicine batch,మందుల బ్యాచ్‌ను స్కాన్ చేయండి,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",మందు ప్యాక్ ఫోటో తీయండి లేదా బ్యాచ్ ఐడీ టైప్ చేయండి.,,
ui,batchPlaceholder,Batch ID,బ్యాచ్ ఐడీ,,
ui,verify,Check batch,బ్యాచ్‌ను తనిఖీ చేయండి,,
ui,packPhoto,Photo of pack,ప్యాక్ ఫోటో,,
ui,newScan,New scan,కొత్త స్కాన్,,
ui,checking,Checking…,తనిఖీ చేస్తోంది…,,
ui,notFound,Batch not found. Try a photo of the pack.,బ్యాచ్ కనబడలేదు. ప్యాక్ ఫోటోతో ప్రయత్నించండి.,,
ui,resultTitle,Quality gate result,నాణ్యత తనిఖీ ఫలితం,,
ui,ACCEPT,ACCEPT,ఆమోదం,,
ui,HOLD,HOLD,నిలిపివేత,,
ui,REJECT,REJECT,తిరస్కరణ,,
ui,alertSentTo,Alert sent to,హెచ్చరిక పంపబడింది:,,
ui,recallStarted,Recall started,రీకాల్ ప్రారంభమైంది,,
ui,askAgent,Ask the assistant,సహాయకుడిని అడగండి,,
ui,askPlaceholder,Ask about this batch…,ఈ బ్యాచ్ గురించి అడగండి…,,
ui,language,Language,భాష,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,మీరు ఆఫ్‌లైన్‌లో ఉన్నారు. స్కాన్ సేవ్ అయింది; నెట్‌వర్క్ వచ్చాక పంపబడుతుంది.,,
ui,medicine,Medicine,మందు,,
ui,batchNo,Batch no.,బ్యాచ్ నం.,,
ui,expiry,Expiry,గడువు తేదీ,,
ui,packRead,Details read from the pack,ప్యాక్ నుంచి చదివిన వివరాలు,,
