kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,सतर्कता: यो ब्याच रोकिएको छ। कृपया समीक्षाको प्रतीक्षा गर्नुहोस्।,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,गम्भीर सूचना: सुरक्षाका कारण यो ब्याच अस्वीकार गरिएको छ। यसलाई प्रयोग नगर्नुहोस्।,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,फिर्ता सूचना: यो ब्याच फिर्ता मगाइँदैछ। बाँकी मौज्दात तुरुन्तै छुट्ट्याएर राख्नुहोस्।,,
ui,scanTitle,Scan medicine batch,औषधिको ब्याच स्क्यान गर्नुहोस्,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",औषधिको प्याकको फोटो लिनुहोस् वा ब्याच आईडी लेख्नुहोस्।,,
ui,batchPlaceholder,Batch ID,ब्याच आईडी,,
ui,verify,Check batch,ब्याच जाँच गर्नुहोस्,,
ui,packPhoto,Photo of pack,प्याकको फोटो,,
ui,newScan,New scan,नयाँ स्क्यान,,
ui,checking,Checking…,जाँच हुँदैछ…,,
ui,notFound,Batch not found. Try a photo of the pack.,ब्याच फेला परेन। प्याकको फोटो प्रयोग गरेर हेर्नुहोस्।,,
ui,resultTitle,Quality gate result,गुणस्तर जाँचको नतिजा,,
ui,ACCEPT,ACCEPT,स्वीकृत,,
ui,HOLD,HOLD,रोकिएको,,
ui,REJECT,REJECT,अस्वीकृत,,
ui,alertSentTo,Alert sent to,सूचना पठाइयो:,,
ui,recallStarted,Recall started,फिर्ता प्रक्रिया सुरु भयो,,
ui,askAgent,Ask the assistant,सहायकलाई सोध्नुहोस्,,
ui,askPlaceholder,Ask about this batch…,यो ब्याचबारे सोध्नुहोस्…,,
ui,language,Language,भाषा,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,तपाईं अफलाइन हुनुहुन्छ। स्क्यान सुरक्षित भयो र नेटवर्क आएपछि पठाइनेछ।,,
ui,medicine,Medicine,औषधि,,
ui,batchNo,Batch no.,ब्याच नं.,,
ui,expiry,Expiry,म्याद सकिने मिति,,
ui,packRead,Details read from the pack,प्याकबाट पढिएको जानकारी,,
