kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,خبردار: هي بيچ روڪيو ويو آهي. مهرباني ڪري جائزي جو انتظار ڪريو.,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,سنگين خبردار: حفاظتي سببن ڪري هي بيچ رد ڪيو ويو آهي. ان کي استعمال نه ڪريو.,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,ريڪال نوٽيس: هي بيچ واپس گهرايو پيو وڃي. باقي اسٽاڪ فوري طور الڳ ڪريو.,,
ui,scanTitle,Scan medicine batch,دوا جو بيچ اسڪين ڪريو,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",دوا جي پيڪ جي تصوير ڪڍو يا بيچ آئي ڊي لکو.,,
ui,batchPlaceholder,Batch ID,بيچ آئي ڊي,,
ui,verify,Check batch,بيچ چيڪ ڪريو,,
ui,packPhoto,Photo of pack,پيڪ جي تصوير,,
ui,newScan,New scan,نئون اسڪين,,
ui,checking,Checking…,چڪاس ٿي رهي آهي…,,
ui,notFound,Batch not found. Try a photo of the pack.,بيچ نه مليو. پيڪ جي تصوير ڪوشش ڪريو.,,
ui,resultTitle,Quality gate result,معيار جي چڪاس جو نتيجو,,
ui,ACCEPT,ACCEPT,منظور,,
ui,HOLD,HOLD,روڪيل,,
ui,REJECT,REJECT,رد,,
ui,alertSentTo,Alert sent to,الرٽ موڪليو ويو:,,
ui,recallStarted,Recall started,ريڪال شروع ٿيو,,
ui,askAgent,Ask the assistant,مددگار کان پڇو,,
ui,askPlaceholder,Ask about this batch…,هن بيچ بابت پڇو…,,
ui,language,Language,ٻولي,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,توهان آف لائن آهيو. اسڪين محفوظ ٿي ويو ۽ نيٽ ورڪ اچڻ تي موڪليو ويندو.,,
ui,medicine,Medicine,دوا,,
ui,batchNo,Batch no.,بيچ نمبر,,
ui,expiry,Expiry,ختم ٿيڻ جي تاريخ,,
ui,packRead,Details read from the pack,پيڪ تان پڙهيل معلومات,,
