kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,सूचना: हा बॅच थांबवला आहे. कृपया पुनरावलोकनाची प्रतीक्षा करा.,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,गंभीर सूचना: सुरक्षिततेच्या कारणास्तव हा बॅच नाकारला आहे. तो वापरू नका.,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,रिकॉल सूचना: हा बॅच परत मागवला जात आहे. उर्वरित साठा तात्काळ वेगळा ठेवा.,,
ui,scanTitle,Scan medicine batch,औषधाचा बॅच स्कॅन करा,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",औषधाच्या पॅकचा फोटो काढा किंवा बॅच आयडी टाका.,,
ui,batchPlaceholder,Batch ID,बॅच आयडी,,
ui,verify,Check batch,बॅच तपासा,,
ui,packPhoto,Photo of pack,पॅकचा फोटो,,
ui,newScan,New scan,नवीन स्कॅन,,
ui,checking,Checking…,तपासणी सुरू आहे…,,
ui,notFound,Batch not found. Try a photo of the pack.,बॅच सापडला नाही. पॅकचा फोटो वापरून पहा.,,
ui,resultTitle,Quality gate result,गुणवत्ता तपासणीचा निकाल,,
ui,ACCEPT,ACCEPT,स्वीकृत,,
ui,HOLD,HOLD,थांबवले,,
ui,REJECT,REJECT,नाकारले,,
ui,alertSentTo,Alert sent to,सूचना पाठवली:,,
ui,recallStarted,Recall started,रिकॉल सुरू झाला,,
ui,askAgent,Ask the assistant,सहाय्यकाला विचारा,,
ui,askPlaceholder,Ask about this batch…,या बॅचबद्दल विचारा…,,
ui,language,Language,भाषा,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,तुम्ही ऑफलाइन आहात. स्कॅन जतन केला आहे; नेटवर्क आल्यावर पाठवला जाईल.,,
ui,medicine,Medicine,औषध,,
ui,batchNo,Batch no.,बॅच क्र.,,
ui,expiry,Expiry,समाप्ती तारीख,,
ui,packRead,Details read from the pack,पॅकवरून वाचलेली माहिती,,
