kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,ચેતવણી: આ બેચ અટકાવવામાં આવ્યો છે. કૃપા કરીને સમીક્ષાની રાહ જુઓ.,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,ગંભીર ચેતવણી: સલામતીના કારણોસર આ બેચ નામંજૂર કરવામાં આવ્યો છે. તેનો ઉપયોગ ન કરો.,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,રિકોલ સૂચના: આ બેચ પાછો મંગાવવામાં આવી રહ્યો છે. બાકીનો જથ્થો તરત અલગ રાખો.,,
ui,scanTitle,Scan medicine batch,દવાનો બેચ સ્કેન કરો,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",દવાના પેકનો ફોટો લો અથવા બેચ આઈડી લખો.,,
ui,batchPlaceholder,Batch ID,બેચ આઈડી,,
ui,verify,Check batch,બેચ તપાસો,,
ui,packPhoto,Photo of pack,પેકનો ફોટો,,
ui,newScan,New scan,નવું સ્કેન,,
ui,checking,Checking…,તપાસ ચાલુ છે…,,
ui,notFound,Batch not found. Try a photo of the pack.,બેચ મળ્યો નથી. પેકનો ફોટો અજમાવો.,,
ui,resultTitle,Quality gate result,ગુણવત્તા તપાસનું પરિણામ,,
ui,ACCEPT,ACCEPT,સ્વીકાર્ય,,
ui,HOLD,HOLD,અટકાવ્યો,,
ui,REJECT,REJECT,નામંજૂર,,
ui,alertSentTo,Alert sent to,ચેતવણી મોકલી:,,
ui,recallStarted,Recall started,રિકોલ શરૂ થયો,,
ui,askAgent,Ask the assistant,સહાયકને પૂછો,,
ui,askPlaceholder,Ask about this batch…,આ બેચ વિશે પૂછો…,,
ui,language,Language,ભાષા,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,તમે ઑફલાઇન છો. સ્કેન સાચવ્યું છે અને નેટવર્ક આવે ત્યારે મોકલાશે.,,
ui,medicine,Medicine,દવા,,
ui,batchNo,Batch no.,બેચ નં.,,
ui,expiry,Expiry,સમાપ્તિ તારીખ,,
ui,packRead,Details read from the pack,પેક પરથી વાંચેલી માહિતી,,
