kind,key,english,draft,reviewer_ok,correction
alert,HOLD,ALERT: This batch has been put on HOLD. Please wait for review.,انتباہ: یہ بیچ روک دیا گیا ہے۔ براہِ کرم جائزے کا انتظار کریں۔,,
alert,REJECT,CRITICAL: This batch has been REJECTED for safety reasons. Do not use it.,سنگین انتباہ: حفاظتی وجوہات کی بنا پر یہ بیچ مسترد کر دیا گیا ہے۔ اسے استعمال نہ کریں۔,,
alert,RECALL,RECALL: This batch is being recalled. Quarantine all remaining stock immediately.,ریکال نوٹس: یہ بیچ واپس منگوایا جا رہا ہے۔ باقی اسٹاک فوراً الگ کر دیں۔,,
ui,scanTitle,Scan medicine batch,دوا کا بیچ اسکین کریں,,
ui,scanSubtitle,"Photograph the medicine pack, or type the batch ID.",دوا کے پیک کی تصویر لیں یا بیچ آئی ڈی درج کریں۔,,
ui,batchPlaceholder,Batch ID,بیچ آئی ڈی,,
ui,verify,Check batch,بیچ کی جانچ کریں,,
ui,packPhoto,Photo of pack,پیک کی تصویر,,
ui,newScan,New scan,نیا اسکین,,
ui,checking,Checking…,جانچ جاری ہے…,,
ui,notFound,Batch not found. Try a photo of the pack.,بیچ نہیں ملا۔ پیک کی تصویر آزمائیں۔,,
ui,resultTitle,Quality gate result,معیار کی جانچ کا نتیجہ,,
ui,ACCEPT,ACCEPT,منظور,,
ui,HOLD,HOLD,روکا گیا,,
ui,REJECT,REJECT,مسترد,,
ui,alertSentTo,Alert sent to,الرٹ بھیجا گیا:,,
ui,recallStarted,Recall started,ریکال شروع ہو گیا,,
ui,askAgent,Ask the assistant,معاون سے پوچھیں,,
ui,askPlaceholder,Ask about this batch…,اس بیچ کے بارے میں پوچھیں…,,
ui,language,Language,زبان,,
ui,offlineQueued,You are offline. The scan is saved and will be sent when you reconnect.,آپ آف لائن ہیں۔ اسکین محفوظ ہو گیا ہے اور نیٹ ورک آنے پر بھیجا جائے گا۔,,
ui,medicine,Medicine,دوا,,
ui,batchNo,Batch no.,بیچ نمبر,,
ui,expiry,Expiry,تاریخِ اختتام,,
ui,packRead,Details read from the pack,پیک سے پڑھی گئی معلومات,,
